path,category,bytes,sha256
.gitignore,repository,195,d1dee03061bf78c61466a402ddfb455514383235e46250a9e63b5c4b8396d194
archive/legacy_dashboard_screenshots/uploaded_20260827_keyness_full.jpg,archive,809926,617a67134c0b82ff7e149b258b072543bc0887b52ea069de4fde16ecf3026b78
archive/legacy_dashboard_screenshots/uploaded_20260827_multi_core_ego_full.jpg,archive,459446,6962891c7e51912f064b1206d04a813a1653b7c4b8e09c6a70125ddb99ec938e
archive/legacy_scripts/bcc_corpus_bind_csv.py,archive,1114,1d1465c66c65d98f9f815b07419c583340d6769d7d7bbb8121b46601288c7714
archive/legacy_scripts/bcc_corpus_preprocess.py,archive,2282,1cf3c3c9812dce4e2994846964699dee0024ccd1f301b1fb39133659ed497833
archive/legacy_scripts/bcc_lda_analysis.py,archive,3722,067a8b048777326c75a2c37894e2c0122e0f27bca09ebcaa6736155b6833220e
archive/legacy_scripts/bcc_lda_analysis_hanlp.py,archive,4945,c4a1645c424107fce9d11f0ebfcb46346ebbc6dc1418abd4f73a2cd62d6992cd
archive/legacy_scripts/bcc_similarity_hitmap_colab_countvec_bootstrap.py,archive,5587,f67353f201c2ab1a62358145e1f8fb63dfac412791e1a847af37e08c706f0339
archive/legacy_scripts/bcc_similarity_hitmap_colab_docfreq_bootstrap.py,archive,5909,4b024e4df55877d7d98f11885e3bb579ed57a7b508fbb0379370f5393ea2221e
archive/legacy_scripts/bcc_similarity_hitmap_colab_lda_bootstrap.py,archive,6372,52ed162489a8408e347f7af825ba54f57e1fa803518a4700592b63ca87ddf36e
archive/legacy_scripts/bcc_similarity_hitmap_colab_tfidf_bootstrap.py,archive,5487,0873d2bad418e648a7d6244aae443c95aaaf642c7510431cb5fab2fb7f814f02
archive/legacy_scripts/bcc_similarity_hitmap_countvec_bootstrap.py,archive,5300,faa6e322bd2535bc96ce346e8330f70cd37014b32901af5e0d013179fed67cee
archive/legacy_scripts/bcc_similarity_hitmap_docfreq_bootstrap.py,archive,5618,15128fb04bfc8ef4b9232cab1337c135b94f7555469cf291d2bf0cc50a3c0e7a
archive/legacy_scripts/bcc_similarity_hitmap_lda_bootstrap.py,archive,6081,109e9cd7253a0a9503676e611ae46d9ba76e3f21685f8b6d7a3fd61b0dbc64e5
archive/legacy_scripts/bcc_similarity_hitmap_tfidf_bootstrap.py,archive,5196,799cedf81410d74f953ca0bab4dcd01016de6462771767c33bedaeb1b9a7962c
archive/legacy_scripts/bcc_tfidf_allyears_hanlp.py,archive,7102,867270d74428e68895823f4289265f401d5d7fbef3fee1c7ac8ab58297ee4229
archive/legacy_scripts/bcc_tfidf_year(proto).py,archive,4775,8522454c4b6921d782254abc9fa4779ebe2dcb39d36c9b8aa258e66e887a0c59
archive/legacy_scripts/freexml_lda_hanlp.py,archive,4138,1d70ec2ba88fa4752c5d8a1f24ef84a3621ac3f07c91423d86bb79e4febe2722
archive/legacy_scripts/freexml_tfidf_noyear.py,archive,3984,237e7b401283ef4da1ea4589abe212c30908e5534ba578dc377b0bf8daf8fc3d
archive/legacy_scripts/hantang_scraping.py,archive,2847,77011a315efe16561b714716ca9bb46e25ab81e89b2931ddb21dbbdb7dc4f0f6
archive/legacy_scripts/ncpssd_scraping.js,archive,12750,3ff013f297a8c0294bcaa6061b788016e2736a81be3d76708338b5fecbd2ea1b
CITATION.cff,repository,629,778786c0e8e1eceb5524e1cd1d3235a9cd38d40be754cec827edd5e5a4862ba9
config/dictionaries/dictionary_v12_master.csv,configuration,49058,3e77bccb6852cf2b000c445382af627ac9643c7099f2e4865f0f25f30c72bd05
config/dictionaries/runtime/dictionary_annotation_crosswalk_v0.csv,configuration,1789,b6d9a14ff01f6dff420041aa01f9bb693346babca676d4db6e174856f87fe21e
config/dictionaries/runtime/dictionary_exact_merge_optional_v12.csv,configuration,10114,f1f8d68711792071e19dc539bd4574cba7e1e402d42ed81b247c417ef9d71059
config/dictionaries/runtime/dictionary_exact_merge_v12.csv,configuration,38296,978aa96819531c9d1c6d05de3e9c66f3c84df2dd4d292ada4d7e2e8bc7c706c1
config/dictionaries/runtime/dictionary_regex_merge_v12.csv,configuration,1661,12dc206b02ba959eb49f6392a183b4023c41eb02589f7b58a645c604e7339dd4
config/dictionaries/runtime/stopword_exact_always_v5.csv,configuration,34100,0b9903d65a4aada91f5012c70d077766fd6a0ef097c5adf81d1824942429f86f
config/dictionaries/runtime/stopword_exact_optional_v5.csv,configuration,1883,626a278f40ad2ea4306523ded391e286887c2ba385cbf8d07f8d60808259b2e0
config/dictionaries/runtime/stopword_regex_always_v5.csv,configuration,773,c92cef0a71f46388e1a5ff8c65311c941feebb54505efc81f35adcf61821b862
config/dictionaries/runtime/variant_char_normalization_runtime_v2.csv,configuration,4741,a371ddbf8127746ca46a1df73e269303f7edd36a6e5a735cd6fb58e96e12dedd
config/dictionaries/stopword_v5_master.csv,configuration,36710,368ba6617919cfeb7378f036591a90097338a57b5666d080f54b2bdf7357d91b
config/dictionaries/variant_char_normalization_rules_v2.csv,configuration,4741,a371ddbf8127746ca46a1df73e269303f7edd36a6e5a735cd6fb58e96e12dedd
config/filters/filter_context_pre_zhixian_metadata.json,configuration,2421,7bb6bef0f664104a6aa7a552948459e5ccf61391ee73ce55d61199c4a80300da
config/filters/filter_context_pre_zhixian_uids.csv,configuration,64781,e89752f845b04ab562d31b99e72ff9a1aabe0eb100e8dcc6db296f9c5d193e5b
config/filters/filter_token_pre_zhixian_retained_official_title.csv,configuration,236,ed3ccb019d4c6a661f05d15eba5fad80e6aa1c896c1a0d02feb585c76fdc9c74
config/filters/filter_token_pre_zhixian_retained_official_title_metadata.json,configuration,1809,c0f547f40155c9053c9dec049a10338c8598ba8d776df5612d3f0f34e47e4eb5
config/filters/token_mask_verification_summary.json,configuration,2928,81296c7fc9fa27861f254ed30a6488a5b4ef64f35390d4ab5ce2ac24def2aca1
config/long_period_manual.csv,configuration,313,91e676a79c89d587e562f36ee89fba580223614b43cd03d3f7c1714cf1f74e82
dashboards/multi_core_ego_network_dashboard.html,dashboard,19404657,1bc9c28801180af4df688e961c288c1cbfea4d9f4436113e3fa95dcb7b937178
dashboards/network_overlap_metrics_dashboard.html,dashboard,5577606,fadc48f1c748d2b2f5ba75ef1d67c499b8411e937cd30557f4b25a13e311c8fb
dashboards/pair_conditioned_keyness_dashboard_lite.html,dashboard,114418,8a0d4e5026de90fca056b6ed0804956518b4ce2499a28465e173e0e573385c8e
dashboards/screenshot_multi_core_ego_network_dashboard.jpg,dashboard,242199,3dacc759fd1a6eb648dcb26be5d6e0862531aa8779e8fea64699194b87482d49
dashboards/screenshot_network_overlap_metrics_dashboard.jpg,dashboard,198633,e2b149f61865215c1dbd5082c7dfb9f69ab738e6b01603add8bae0ed0a7529c3
dashboards/screenshot_pair_conditioned_keyness_dashboard_lite.jpg,dashboard,300315,ccaa93a63a7f5b3767b0ea7d5091c8c6cfda2806a78ebb57bc9b2bc8e8172258
data/evidence/paper_context_index.csv,data,1556,ad2dd675603dd2cd4efc31820646df469f2a1359292adca8a16da5a73e4bcbd1
data/keyness/paper_robust_candidates.csv,data,82956,c6dc7bf0f2c877ff2d973464e9cdbbf5c9a7051b5aa20f36c0f60d94001023d3
data/keyness/paper_top20.csv,data,59774,bcf691255453fb20a56ab20fa6211c77f63232ea35a0995948c211b6ff293ed4
data/network/edges/full/global/network_constitutional_applied_full_all-tokens_w10_split-lr_none_raw-freq_global_all_filtered_pre_zhixian_context_joint15up_stopv5alwaysfiltered.csv,data,2782196,a26bd4b236e5094a1593b19702a05a2f121b87991e6b46f646e41e9026d8fd29
data/network/edges/full/periods/for_gephi_dynamic_long_period_manual_full_all-tokens_w10_undirected_count_filtered_pre_zhixian_context_jointvar-5-6-7up_stopv5always_edges.csv,data,12981474,a54a6a5d1c0e1c8ec0afcbf98fd37eff89a5d46924a70adeae9d0cdf11b18bfb
data/network/edges/strict/global/network_constitutional_applied_strict_all-tokens_w10_split-lr_none_raw-freq_global_all_filtered_pre_zhixian_context_joint15up_stopv5alwaysfiltered.csv,data,2881096,88dce37649bc80b4e1fa874ebcc8dd0dab4a2d7b172cafae6c04ccefba9ebf73
data/network/edges/strict/global/network_constitutional_applied_strict_all-tokens_w1_split-lr_none_raw-freq_global_all_filtered_pre_zhixian_context_joint15up_stopv5alwaysfiltered.csv,data,347274,b3b552bbb3b8f36ec257fcc89bb32afba09eeb9d609726c01249cfc426c1e3ee
data/network/edges/strict/global/network_constitutional_applied_strict_all-tokens_w20_split-lr_none_raw-freq_global_all_filtered_pre_zhixian_context_joint15up_stopv5alwaysfiltered.csv,data,5881433,05bfe3c195e3ff3d71095841ef5ef84bfd4a3d9d47a91290bc4c91c136330ff0
data/network/edges/strict/global/network_constitutional_applied_strict_all-tokens_w5_split-lr_none_raw-freq_global_all_filtered_pre_zhixian_context_joint15up_stopv5alwaysfiltered.csv,data,1427672,efb23f3dca7253660f0a4c5a3a96617f89cae40fdd1df9e79e0e705c6ff6e2e1
data/network/edges/strict/periods/p000/network_constitutional_applied_strict_w10_long_period_manual_p000_filtered_joint5up_stopv5always.csv,data,8187,19dd68c9d99312eeb0faba482b7aa1b98e36a1a7e22c29e8b54bfa44aa3a6ddf
data/network/edges/strict/periods/p001/network_constitutional_applied_strict_w10_long_period_manual_p001_filtered_joint7up_stopv5always.csv,data,1955215,15122216c7b5ba274f04f89179d41f92e3689ca5b22071207e9365819ccb9c6e
data/network/edges/strict/periods/p002/network_constitutional_applied_strict_w10_long_period_manual_p002_filtered_joint8up_stopv5always.csv,data,2153197,e449c99171950287ad1b65dc9f5499a7cc45d2ba2297a05b4d72fef431c4ad3b
data/network/edges/strict/periods/p003/network_constitutional_applied_strict_w10_long_period_manual_p003_filtered_joint7up_stopv5always.csv,data,1813421,b62999dbb1760372f9304cd485f22f9ffc7f2168aeb2b7a75e0b161ea8d4ba7d
data/network/edges/strict/periods/p004/network_constitutional_applied_strict_w10_long_period_manual_p004_filtered_joint6up_stopv5always.csv,data,147043,45999d6b34e29d16bc767905c2157e9b3fc1543db802536d5a505b7eadd01ee7
data/network/edges/strict/periods/p005/network_constitutional_applied_strict_w10_long_period_manual_p005_filtered_joint7up_stopv5always.csv,data,1311503,f54bb6a11093aa567368577b07be5b015cf9c7f131b20adb4a5c0bc143fef71a
data/network/metrics/network_core_overlap_metrics.csv,data,580529,23b12366fe61ad7d543e589133656c2a806d1c9bc45309a76376293821ee7eb4
data/network/multi_core/multi_core_ego_dashboard_summary.json,data,255,35d0ba4768d869ed0e299601b107bd5124e59cff4b43043cea81c4fc84888783
data/network/multi_core/multi_core_ego_neighbors.csv,data,17157440,bbdbcf2396b45d62e9c60996acc08465af5ac7606b36951f0e8553e9d554bd7d
data/network/tables/global_pair_shared_tokens.csv,data,1638,0b64a83e9d1e4f0c51c850bda5e0862d073080614f6dbdd1c739ebae6e114308
data/periodization/long_period_manual_counts.csv,data,571,58ed5c25ccfa6673b4ee45f6a41ffedd142cb994f218626a6796a17c93b829a6
data/periodization/pelt_example/pelt_xianfa_from19040501_to19150831_min15_pen5_l2_change_points.csv,data,2523,b82b80fb8a581011910fcfbdd9337ae9c4d36d7ec3b4f3d5bf9ea483c21838e5
data/periodization/pelt_example/pelt_xianfa_from19040501_to19150831_min15_pen5_l2_segments.csv,data,4008,2358c779ca45ad10699fddb05149ec0821ad5f136af9d4b6cbc8a74974b45bf4
data/periodization/rolling30_values.csv,data,1344974,dd0a38397ab39b3fbea6431634405b0c75b458e280a757186c381901e4b8ccd2
docs/DATA_ACCESS.md,documentation,1621,b29b97a505f914025be163338adda3d607ee37f83b4ef119834fbfcc7b94b6e7
docs/DATA_DICTIONARY.md,documentation,3558,25986aba9f42a819add19caa4961a8d5682ac9fc6f2eb36f4c5456385151a109
